epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,21052,0.41086,0.45279,0.17596,0.81098,0.98843,0.99155,0.99135,0.92752,0.98843,0.99155,0.99135,0.79824,0.37641,0.42384,0.15172,0.80778,0.002559,0.002559,0.002559
51,21440.5,0.39774,0.43101,0.1708,0.81127,0.99033,0.9911,0.99152,0.92729,0.99033,0.9911,0.99152,0.80002,0.37825,0.42589,0.15029,0.80482,0.00255,0.00255,0.00255
52,21893.8,0.41083,0.43043,0.17785,0.81512,0.98978,0.99214,0.99168,0.92625,0.98978,0.99214,0.99168,0.79336,0.3857,0.43165,0.15849,0.80616,0.002541,0.002541,0.002541
53,22329,0.4059,0.45006,0.17595,0.80841,0.97994,0.99289,0.99075,0.92295,0.97994,0.99289,0.99075,0.79734,0.37532,0.43779,0.15319,0.80765,0.002532,0.002532,0.002532
54,22804.6,0.40352,0.45259,0.17802,0.80872,0.9914,0.992,0.992,0.92551,0.9914,0.992,0.992,0.78877,0.38295,0.42733,0.15241,0.80661,0.002523,0.002523,0.002523
55,23175.4,0.40225,0.44399,0.17568,0.81051,0.97582,0.99291,0.98493,0.91675,0.97582,0.99291,0.98493,0.78628,0.37932,0.43141,0.16891,0.80723,0.002514,0.002514,0.002514
56,23595.3,0.40506,0.44244,0.17955,0.81758,0.97784,0.98863,0.98878,0.91791,0.97786,0.9886,0.98876,0.79012,0.38964,0.48747,0.17292,0.80752,0.002505,0.002505,0.002505
57,23968,0.39812,0.43793,0.17712,0.80971,0.99137,0.9947,0.99206,0.92774,0.99137,0.9947,0.99206,0.79236,0.37533,0.42407,0.14658,0.80631,0.002496,0.002496,0.002496
58,24277.4,0.38686,0.43833,0.16738,0.8085,0.99054,0.99448,0.9923,0.9276,0.99054,0.99448,0.9923,0.80056,0.37587,0.42347,0.14467,0.8055,0.002487,0.002487,0.002487
59,24680.3,0.39218,0.42743,0.16698,0.80883,0.99095,0.99334,0.99282,0.92617,0.99095,0.99334,0.99282,0.79309,0.38065,0.42539,0.14554,0.80395,0.002478,0.002478,0.002478
60,25057.7,0.391,0.41796,0.16574,0.80983,0.99164,0.99241,0.9914,0.92311,0.99164,0.99241,0.9914,0.80235,0.38272,0.42291,0.15636,0.80698,0.002469,0.002469,0.002469
61,25425,0.40028,0.43301,0.17221,0.80864,0.98856,0.99189,0.99092,0.92571,0.98856,0.99189,0.99092,0.79002,0.37868,0.43666,0.15781,0.80722,0.00246,0.00246,0.00246
62,25831.8,0.41087,0.44798,0.17275,0.8138,0.99032,0.9937,0.99302,0.93008,0.99032,0.9937,0.99302,0.79474,0.37262,0.42447,0.14444,0.805,0.002451,0.002451,0.002451
63,26225,0.39026,0.42739,0.16765,0.80959,0.99051,0.9929,0.99263,0.92545,0.99051,0.9929,0.99263,0.79528,0.38636,0.43,0.16047,0.80529,0.002442,0.002442,0.002442
64,26652.4,0.39757,0.44617,0.17354,0.81032,0.99087,0.99189,0.99222,0.92265,0.99087,0.99189,0.99222,0.79965,0.37862,0.43327,0.15119,0.80673,0.002433,0.002433,0.002433
65,27023.1,0.39749,0.43734,0.17449,0.80799,0.95187,0.89446,0.94969,0.88104,0.94822,0.89142,0.94487,0.73342,0.39409,0.82732,0.39526,0.81789,0.002424,0.002424,0.002424
66,27468.8,0.39943,0.43973,0.16807,0.81191,0.97835,0.96729,0.98615,0.91911,0.97835,0.96729,0.98615,0.78677,0.3808,0.50023,0.19186,0.80691,0.002415,0.002415,0.002415
67,27785.3,0.39338,0.43654,0.16923,0.80504,0.97981,0.99368,0.98653,0.92014,0.97981,0.99368,0.98653,0.79129,0.37941,0.44187,0.1658,0.80447,0.002406,0.002406,0.002406
